title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url,last_updated_at_UTC
Wild Beer Co Quantic - 2L SUB Keg,Pale Ale,4.7,200.0,Torp,True,13.99,https://www.beerwulf.com/globalassets/wild-beer-co-quantic---2l-sub-keg_beer_24209_0.png,https://www.beerwulf.com/en-gb/p/beers/Wild-Beer-Co-Quantic-2L-SUB-Keg,05-Jun-2022 11:05:39
Heineken 0.0 - 8L BLADE Keg,Lager,0.0,800.0,BladeKeg,True,19.99,https://www.beerwulf.com/globalassets/heineken-0.0-blade-8l-keg_1_1.png,https://www.beerwulf.com/en-gb/p/beers/heineken-zero-blade-8l-keg,05-Jun-2022 11:05:39
Edelweiss Hefetrüb - 8L BLADE Keg,German Wheat Beer,5.3,800.0,BladeKeg,True,22.7435,https://www.beerwulf.com/globalassets/edelweiss-hefetrub----blade-keg_beer_15788_0.jpeg,https://www.beerwulf.com/en-gb/p/beers/edelweiss-hefetrub-8l-keg,05-Jun-2022 11:05:39
BLADE Dome,Accessories,,0.0,,True,50.0,https://www.beerwulf.com/globalassets/blade-dome_1_0.png,https://www.beerwulf.com/en-gb/p/accessories-2b42f2b9/blade-dome,05-Jun-2022 11:05:39
BLADE Heineken Silver Starter Pack,,,1600.0,,True,450.0,https://www.beerwulf.com/globalassets/blade--2-heineken-silver-starter-pack_skucollection_24303_0.png,https://www.beerwulf.com/en-gb/p/beercases/blade-heineken-silver-starter-pack,05-Jun-2022 11:05:39
BLADE Beer Tap,,,0.0,,True,420.0,https://www.beerwulf.com/globalassets/blade-and-dome_1_0.jpeg,https://www.beerwulf.com/en-gb/p/beercases/blade,05-Jun-2022 11:05:39
Affligem Fris Blond 4.6 - 2L SUB Keg,Blond Beer,4.6,200.0,Torp,True,9.49,https://www.beerwulf.com/globalassets/affligem-fris-blond-sub-kegtorp2_15422_0.png,https://www.beerwulf.com/en-gb/p/beers/affligem-fris-blond-2l-keg,05-Jun-2022 11:05:39
Pelforth Blonde - 2L SUB Keg,Blond Beer,5.8,200.0,Torp,True,9.49,https://www.beerwulf.com/globalassets/pelforth-blonde---2l-keg_2_02.png,https://www.beerwulf.com/en-gb/p/beers/pelforth-blonde-2l-keg,05-Jun-2022 11:05:39
Wiener Lager - 8L BLADE Keg,Lager,5.5,800.0,BladeKeg,True,31.99,https://www.beerwulf.com/globalassets/wiener-lager---blade-keg_beer_22667_03.png,https://www.beerwulf.com/en-gb/p/beers/wiener-lager-8l-keg,05-Jun-2022 11:05:39
BLADE Tiger Starter Pack,,,1600.0,,True,450.0,https://www.beerwulf.com/globalassets/blade--2-tiger---8l-keg-v2_skucollection_23808_03.png,https://www.beerwulf.com/en-gb/p/beercases/blade-tiger-8l-keg-v2,05-Jun-2022 11:05:39
Birra Moretti Beer Glass Case,,,0.0,,True,23.391,https://www.beerwulf.com/globalassets/6-birra-moretti-glass-pack_pack_22780_02.png,https://www.beerwulf.com/en-gb/p/beercases/birra-moretti-glass-case,05-Jun-2022 11:05:39
BLADE Heineken Starter Pack,,,1600.0,,True,450.0,https://www.beerwulf.com/globalassets/blade-2xheineken-8l-keg_03.png,https://www.beerwulf.com/en-gb/p/beercases/blade-heineken-8l-keg,05-Jun-2022 11:05:39
Birra Moretti La Rossa - 2L SUB Keg,Bock Beer,7.2,200.0,Torp,True,9.99,https://www.beerwulf.com/globalassets/birra-moretti-la-rossatorp2_14820_0.png,https://www.beerwulf.com/en-gb/p/beers/birra-moretti-la-rossa-2l-keg,05-Jun-2022 11:05:39
Harviestoun Bitter and Twisted - 2L SUB Keg,Blond Beer,4.2,200.0,Torp,True,14.49,https://www.beerwulf.com/globalassets/harviestoun-bitter-and-twisted---2l-sub-keg_beer_24146_02.png,https://www.beerwulf.com/en-gb/p/beers/Harviestoun-Bitter-and-Twisted-2L-SUB-Keg,05-Jun-2022 11:05:39
The SUB Compact Mixed Starter Pack,,,800.0,,True,120.0,https://www.beerwulf.com/globalassets/best-sellers-starter-pack-v2_pack_24356_0.png,https://www.beerwulf.com/en-gb/p/beercases/The-SUB-Compact-Mixed-Starter-Pack,05-Jun-2022 11:05:39
Heineken - 5L Draught Keg,Lager,5.0,500.0,DraughtKeg,True,20.99,https://www.beerwulf.com/globalassets/heineken-5l-keg_1_04.png,https://www.beerwulf.com/en-gb/p/beers/heineken-5l-keg,05-Jun-2022 11:05:39
