title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url
Mort Subite Geuze Lambic,Sour Beer,4.5,25.0,Bottle,True,1.89,https://www.beerwulf.com/globalassets/mort-subite-geuze-lambic.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/mort-subite-geuze-lambic2
Bellfield Lawless Village IPA,Lager,4.5,33.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/bellfield-lawless-village-ipa33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/bellfield-lawless-village-ipa33
Murphy's Irish Stout,Porter & Stout,4.0,50.0,Can,True,2.49,https://www.beerwulf.com/globalassets/murphys-irish-stout.5_1_1.png,https://www.beerwulf.com/en-gb/p/beers/murphys-irish-stout.5
Sol,Lager,4.5,33.0,Bottle,True,1.79,https://www.beerwulf.com/globalassets/sol.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/sol.33
Beavertown Neck Oil,IPA,4.3,33.0,Can,True,2.59,https://www.beerwulf.com/globalassets/beavertown-neck-oil.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/beavertown-neck-oil.33
Beavertown Gamma Ray,Pale Ale,5.4,33.0,Can,True,2.59,https://www.beerwulf.com/globalassets/beavertown-gamma-ray.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/beavertown-gamma-ray.33
Affligem Blond,Blond Beer,6.8,30.0,Bottle,True,1.89,https://www.beerwulf.com/globalassets/affligem-blond-uk_1_0.png,https://www.beerwulf.com/en-gb/p/beers/affligem-blond.3_2
Affligem Patersvat,Blond Beer,6.8,30.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/affligem-patersvat.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/affligem-patersvat2
Lindemans Kriek,Fruit Beer,3.5,25.0,Bottle,True,2.19,https://www.beerwulf.com/globalassets/lindemans-kriek.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/lindemans-kriek.25
La Trappe Quadrupel,Quadrupel Beer,10.0,33.0,Bottle,True,3.29,https://www.beerwulf.com/globalassets/la-trappe-quadrupel33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/la-trappe-quadrupel33
Gulpener Château Neubourg,Pilsner & Hoppy Lager,5.5,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/gulpener-chateau-neubourg.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/gulpener-chateau-neubourg.33
Hertog Jan Grand Prestige,Barley Wine,10.0,30.0,Bottle,True,2.99,https://www.beerwulf.com/globalassets/hertog-jan-grand-prestige.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/hertog-jan-grand-prestige.3
Brewdog Elvis Juice Can,Lager,6.5,33.0,Can,True,2.89,https://www.beerwulf.com/globalassets/brewdog-elvis-juice-can.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/brewdog-elvis-juice-can.33
Fourpure IPA,IPA,5.9,33.0,Can,True,2.69,https://www.beerwulf.com/globalassets/fourpure-shapeshifter-ipa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-shapeshifter-ipa.33
Ninkasi Triple,Tripel Beer,8.4,33.0,Bottle,True,3.19,https://www.beerwulf.com/globalassets/ninkasi-triple.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-triple.33
Ninkasi Pale Ale,Amber & Red Ale,4.5,33.0,Bottle,True,2.59,https://www.beerwulf.com/globalassets/ninkasi-ambree.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-ambree-.33
Brand IPA,IPA,7.0,30.0,Bottle,True,2.09,https://www.beerwulf.com/globalassets/brand-ipa.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brand-ipa2
Brixton Low Voltage,IPA,4.3,33.0,Can,True,2.69,https://www.beerwulf.com/globalassets/brixton-low-voltage.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/brixton-low-voltage.33
Gallia Session IPA,IPA,4.3,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/gallia-session-ipa.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/gallia-session-ipa.33
