title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url,last_updated_at_UTC
Beavertown Lupuloid,IPA,6.7,33.0,Can,False,2.89,https://www.beerwulf.com/globalassets/beavertown-lupuloid.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/beavertown-lupuloid.33,05-Dec-2021 18:39:27
La Cristal IPA du Mont Blanc,IPA,4.7,33.0,Bottle,False,2.79,https://www.beerwulf.com/globalassets/la-cristal-ipa-du-mont-blanc.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/la-cristal-ipa-du-mont-blanc.33,05-Dec-2021 18:39:27
Oedipus Gaia IPA,IPA,7.0,33.0,Bottle,False,3.19,https://www.beerwulf.com/globalassets/oedipus-gaia-ipa.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/oedipus-gaia-ipa2,05-Dec-2021 18:39:27
Affligem Tripel,Tripel Beer,9.0,30.0,Bottle,False,2.19,https://www.beerwulf.com/globalassets/affligem-tripel.3_1_02.png,https://www.beerwulf.com/en-gb/p/beers/affligem-tripel2,05-Dec-2021 18:39:27
Fourpure Hemisphere Session IPA,IPA,4.2,33.0,Can,False,2.49,https://www.beerwulf.com/globalassets/fourpure-session-ipa.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-session--ipa,05-Dec-2021 18:39:27
Fourpure Easy Peeler Session IPA,IPA,4.0,33.0,Can,False,2.39,https://www.beerwulf.com/globalassets/fourpure-easy-peeler-session-ipa.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-easy-peeler-session-ipa.33,05-Dec-2021 18:39:27
Fourpure Base Camp Pils Lager,Pilsner & Hoppy Lager,4.7,33.0,Can,False,2.59,https://www.beerwulf.com/globalassets/fourpure-pils-lager.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/base-camp-pils-lager,05-Dec-2021 18:39:27
Ninkasi French IPA,IPA,5.4,33.0,Bottle,False,2.79,https://www.beerwulf.com/globalassets/ninkasi-ipa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-ipa.33,05-Dec-2021 18:39:27
Ciney Blond,Blond Beer,7.0,25.0,Bottle,False,1.89,https://www.beerwulf.com/globalassets/ciney-blond.25_1_0.png,https://www.beerwulf.com/en-gb/p/beers/ciney-blond.25,05-Dec-2021 18:39:27
Judas,Blond Beer,8.5,33.0,Bottle,False,2.49,https://www.beerwulf.com/globalassets/judas.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/judas2,05-Dec-2021 18:39:27
Hapkin,Blond Beer,8.5,33.0,Bottle,False,2.49,https://www.beerwulf.com/globalassets/hapkin.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/hapkin2,05-Dec-2021 18:39:27
Postel Dubbel,Dubbel Beer,7.0,33.0,Bottle,False,2.69,https://www.beerwulf.com/globalassets/postel-dubbel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/postel-dubbel2,05-Dec-2021 18:39:27
Chimay Wit,Tripel Beer,8.0,33.0,Bottle,False,3.09,https://www.beerwulf.com/globalassets/chimay-wit.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/chimay-white2,05-Dec-2021 18:39:27
La Trappe Dubbel,Dubbel Beer,7.0,33.0,Bottle,False,2.59,https://www.beerwulf.com/globalassets/la-trappe-dubbel33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/la-trappe-dubbel33,05-Dec-2021 18:39:27
Kapittel Watou Blond 6,Blond Beer,6.5,33.0,Bottle,False,2.19,https://www.beerwulf.com/globalassets/kapittel-watou-blond-6.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/kapittel-watou-blond-6.33,05-Dec-2021 18:39:27
Cuvée des Trolls,Blond Beer,7.0,25.0,Bottle,False,2.19,https://www.beerwulf.com/globalassets/cuvee-des-trolls.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/cuvee-des-trolls.33,05-Dec-2021 18:39:27
Duvel Tripel Hop,Blond Beer,9.5,33.0,Bottle,False,3.39,https://www.beerwulf.com/globalassets/duvel-tripel-hop.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/duvel-tripel-hop2,05-Dec-2021 18:39:27
Asahi Super Dry,Lager,5.2,33.0,Bottle,False,2.49,https://www.beerwulf.com/globalassets/asahi-super-dry.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/asahi-super-dry.33,05-Dec-2021 18:39:27
Stone Go To IPA ,IPA,4.7,36.0,Can,False,2.69,https://www.beerwulf.com/globalassets/stone-go-to-ipacan.36_15352_0.png,https://www.beerwulf.com/en-gb/p/beers/stone-go-to-ipa-can,05-Dec-2021 18:39:31
Vedett Extra Ordinary IPA,IPA,5.5,33.0,Bottle,False,2.49,https://www.beerwulf.com/globalassets/vedett-extra-ordinary-ipa.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/vedett-extra-ordinary-ipa2,05-Dec-2021 18:39:31
Affligem Blond,Blond Beer,6.8,30.0,Bottle,False,1.89,https://www.beerwulf.com/globalassets/affligem-blond-uk_1_0.png,https://www.beerwulf.com/en-gb/p/beers/affligem-blond.3_2,05-Dec-2021 18:39:31
Fourpure IPA,IPA,5.9,33.0,Can,False,2.69,https://www.beerwulf.com/globalassets/fourpure-shapeshifter-ipa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-shapeshifter-ipa.33,05-Dec-2021 18:39:31
Fourpure Juicebox Citrus IPA,IPA,5.9,33.0,Can,False,2.69,https://www.beerwulf.com/globalassets/fourpure-juicebox-citrus-ipacan.33_14842_0.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-juicebox-citrus-ipa-can,05-Dec-2021 18:39:31
Fourpure Last Train Oatmeal Stout,Porter & Stout,5.1,33.0,Can,False,2.59,https://www.beerwulf.com/globalassets/fourpure-oatmeal-stout.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-oatmeal--stout,05-Dec-2021 18:39:31
Ninkasi Triple,Tripel Beer,8.4,33.0,Bottle,False,3.19,https://www.beerwulf.com/globalassets/ninkasi-triple.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-triple.33,05-Dec-2021 18:39:31
Ninkasi Pale Ale,Amber & Red Ale,4.5,33.0,Bottle,False,2.59,https://www.beerwulf.com/globalassets/ninkasi-ambree.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-ambree-.33,05-Dec-2021 18:39:31
Westmalle Tripel,Tripel Beer,9.5,33.0,Bottle,False,2.99,https://www.beerwulf.com/globalassets/westmalle-tripel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/westmalle-tripel2,05-Dec-2021 18:39:31
Ename Blond,Blond Beer,6.5,33.0,Bottle,False,2.49,https://www.beerwulf.com/globalassets/ename-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/ename-blond2,05-Dec-2021 18:39:31
Grimbergen Triple,Tripel Beer,9.0,33.0,Bottle,False,3.29,https://www.beerwulf.com/globalassets/grimbergen-triple.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/grimbergen-triple2,05-Dec-2021 18:39:31
Steenbrugge Dubbel,Dubbel Beer,6.5,33.0,Bottle,False,2.79,https://www.beerwulf.com/globalassets/steenbrugge-dubbel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/steenbrugge-dubbel2,05-Dec-2021 18:39:31
